rank,candidate_id,score,core_ai,production,evaluation,traps,reasoning
11,CAND_0055561,0.0286,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055561]"
12,CAND_0055563,0.0282,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055563]"
13,CAND_0055565,0.0278,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055565]"
14,CAND_0055567,0.0274,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055567]"
15,CAND_0055541,0.0270,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055541]"
16,CAND_0055569,0.0267,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055569]"
17,CAND_0055573,0.0263,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055573]"
18,CAND_0055575,0.0260,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055575]"
19,CAND_0055577,0.0256,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055577]"
20,CAND_0055579,0.0253,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055579]"
21,CAND_0055581,0.0250,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055581]"
22,CAND_0055583,0.0247,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055583]"
23,CAND_0055585,0.0244,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055585]"
24,CAND_0055587,0.0241,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055587]"
25,CAND_0055589,0.0238,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055589]"
26,CAND_0055591,0.0235,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055591]"
27,CAND_0055593,0.0233,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055593]"
28,CAND_0055595,0.0230,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055595]"
29,CAND_0055597,0.0227,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055597]"
30,CAND_0055571,0.0225,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055571]"
31,CAND_0055539,0.0222,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055539]"
32,CAND_0055537,0.0220,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055537]"
33,CAND_0055535,0.0217,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055535]"
34,CAND_0055477,0.0215,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055477]"
35,CAND_0055479,0.0213,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055479]"
36,CAND_0055481,0.0211,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055481]"
37,CAND_0055483,0.0208,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055483]"
38,CAND_0055485,0.0206,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055485]"
39,CAND_0055487,0.0204,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055487]"
40,CAND_0055489,0.0202,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055489]"
41,CAND_0055491,0.0200,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055491]"
42,CAND_0055493,0.0198,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055493]"
43,CAND_0055495,0.0196,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055495]"
44,CAND_0055497,0.0194,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055497]"
45,CAND_0055499,0.0192,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055499]"
46,CAND_0055501,0.0190,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055501]"
47,CAND_0055503,0.0189,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055503]"
48,CAND_0055505,0.0187,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055505]"
49,CAND_0055507,0.0185,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055507]"
50,CAND_0055509,0.0183,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055509]"
51,CAND_0055511,0.0182,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055511]"
52,CAND_0055513,0.0180,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055513]"
53,CAND_0055515,0.0179,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055515]"
54,CAND_0055517,0.0177,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055517]"
55,CAND_0055519,0.0175,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055519]"
56,CAND_0055521,0.0174,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055521]"
57,CAND_0055523,0.0172,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055523]"
58,CAND_0055525,0.0171,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055525]"
59,CAND_0055527,0.0169,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055527]"
60,CAND_0055529,0.0168,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055529]"
61,CAND_0055531,0.0167,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055531]"
62,CAND_0055533,0.0165,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055533]"
63,CAND_0055599,0.0164,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055599]"
64,CAND_0055475,0.0163,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055475]"
