rank,candidate_id,score,title,company/current_org,location,years_experience,primary_skill_cluster,core_ai_score,production_score,evaluation_score,behavior_score,risk_penalty,reasoning_hash,is_near_duplicate_reasoning,is_same_template_cluster
15,CAND_0000031,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
16,CAND_0000033,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
17,CAND_0000035,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
18,CAND_0000037,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
19,CAND_0000039,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
20,CAND_0000041,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
21,CAND_0000043,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
22,CAND_0000045,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
23,CAND_0000047,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
24,CAND_0000049,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
25,CAND_0000051,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
26,CAND_0000053,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
27,CAND_0000055,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
28,CAND_0000057,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
29,CAND_0000059,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
30,CAND_0000061,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
31,CAND_0000063,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
32,CAND_0000065,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
33,CAND_0000067,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
34,CAND_0000069,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
35,CAND_0000071,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
36,CAND_0000073,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
37,CAND_0000075,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
38,CAND_0000077,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
39,CAND_0000079,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
40,CAND_0000081,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
41,CAND_0000083,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
42,CAND_0000085,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
43,CAND_0000087,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
44,CAND_0000089,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
45,CAND_0000091,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
46,CAND_0000093,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
47,CAND_0000095,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
48,CAND_0000097,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
49,CAND_0000099,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
50,CAND_0000101,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
51,CAND_0000103,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
52,CAND_0000105,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
53,CAND_0000107,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
54,CAND_0000109,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
55,CAND_0000111,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
56,CAND_0000113,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
57,CAND_0000115,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
58,CAND_0000117,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
59,CAND_0000119,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
60,CAND_0000121,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
61,CAND_0000123,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
62,CAND_0000125,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
63,CAND_0000127,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
64,CAND_0000129,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
65,CAND_0000131,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
66,CAND_0000133,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
67,CAND_0000135,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
68,CAND_0000137,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
69,CAND_0000139,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
70,CAND_0000141,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
71,CAND_0000143,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
72,CAND_0000145,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
73,CAND_0000147,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
74,CAND_0000149,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
75,CAND_0000151,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
76,CAND_0000153,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
77,CAND_0000155,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
78,CAND_0000157,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
79,CAND_0000159,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
80,CAND_0000161,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
81,CAND_0000163,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
82,CAND_0000165,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
83,CAND_0000167,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
84,CAND_0000169,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
85,CAND_0000171,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
86,CAND_0000173,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
87,CAND_0000175,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
88,CAND_0000177,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
89,CAND_0000179,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
90,CAND_0000181,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
91,CAND_0000183,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
92,CAND_0000185,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
93,CAND_0000187,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
94,CAND_0000189,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
95,CAND_0000191,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
96,CAND_0000193,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
97,CAND_0000195,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
98,CAND_0000002,0.3139,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,6044308430370378873,False,True
99,CAND_0000004,0.3139,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,6044308430370378873,False,True
100,CAND_0000006,0.3139,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,6044308430370378873,False,True
